name,licence,url
Anime4k Shader,MIT,https://github.com/bloc97/Anime4K
mpv-youtube-quality,None,https://github.com/jgreco/mpv-youtube-quality
mpv-reload,None,https://github.com/4e6/mpv-reload/
mpv_thumbnail_script,GPLV3,https://github.com/marzzzello/mpv_thumbnail_script 
